time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),et0_fao_evapotranspiration (mm),elevation,city,temperature_2m (°C)_max,relativehumidity_2m (%)_max,dewpoint_2m (°C)_max,apparent_temperature (°C)_max,pressure_msl (hPa)_max,surface_pressure (hPa)_max,snowfall (cm)_max,cloudcover (%)_max,cloudcover_low (%)_max,cloudcover_mid (%)_max,cloudcover_high (%)_max,shortwave_radiation (W/m²)_max,direct_radiation (W/m²)_max,diffuse_radiation (W/m²)_max,direct_normal_irradiance (W/m²)_max,windspeed_10m (km/h)_max,windspeed_100m (km/h)_max,winddirection_10m (°)_max,winddirection_100m (°)_max,windgusts_10m (km/h)_max,et0_fao_evapotranspiration (mm)_max,vapor_pressure_deficit (kPa)_max,soil_temperature_0_to_7cm (°C)_max,soil_temperature_7_to_28cm (°C)_max,soil_temperature_28_to_100cm (°C)_max,soil_temperature_100_to_255cm (°C)_max,soil_moisture_0_to_7cm (m³/m³)_max,soil_moisture_7_to_28cm (m³/m³)_max,soil_moisture_28_to_100cm (m³/m³)_max,soil_moisture_100_to_255cm (m³/m³)_max,city_max,temperature_2m (°C)_max_min,relativehumidity_2m (%)_max_min,dewpoint_2m (°C)_max_min,apparent_temperature (°C)_max_min,pressure_msl (hPa)_max_min,surface_pressure (hPa)_max_min,snowfall (cm)_max_min,cloudcover (%)_max_min,cloudcover_low (%)_max_min,cloudcover_mid (%)_max_min,cloudcover_high (%)_max_min,shortwave_radiation (W/m²)_max_min,direct_radiation (W/m²)_max_min,diffuse_radiation (W/m²)_max_min,direct_normal_irradiance (W/m²)_max_min,windspeed_10m (km/h)_max_min,windspeed_100m (km/h)_max_min,winddirection_10m (°)_max_min,winddirection_100m (°)_max_min,windgusts_10m (km/h)_max_min,et0_fao_evapotranspiration (mm)_max_min,vapor_pressure_deficit (kPa)_max_min,soil_temperature_0_to_7cm (°C)_max_min,soil_temperature_7_to_28cm (°C)_max_min,soil_temperature_28_to_100cm (°C)_max_min,soil_temperature_100_to_255cm (°C)_max_min,soil_moisture_0_to_7cm (m³/m³)_max_min,soil_moisture_7_to_28cm (m³/m³)_max_min,soil_moisture_28_to_100cm (m³/m³)_max_min,soil_moisture_100_to_255cm (m³/m³)_max_min,city_max_min,month,rainy,year
2018-04-12,-11.2,-15.5,-15.2,-20.4,2018-04-12T14:02,2018-04-13T08:52,10.64,0.0,0.0,9.4,14.8,0.5,0,q,-11.8,64.0,-17.8,-15.2,1009.3,971.5,0.0,100.0,50.0,97.0,68.0,369.0,306.0,150.0,854.7,9.4,10.8,55.0,85.0,14.8,0.05,0.12,-16.9,-16.9,-16.7,-15.7,0.334,0.324,0.267,0.25,q,-17.0,51.0,-23.4,-20.4,997.1,959.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.8,16.0,53.0,5.8,0.0,0.06,-16.9,-16.9,-16.7,-15.8,0.334,0.324,0.267,0.25,q,4,True,2018
2018-04-13,-10.9,-13.6,-15.0,-17.7,2018-04-13T13:51,2018-04-14T09:02,9.74,0.0,0.28,4.6,11.5,0.44,0,q,-11.2,70.0,-17.1,-15.0,1015.8,977.6,0.07,100.0,96.0,99.0,47.0,279.0,145.0,174.0,378.5,4.6,4.2,360.0,349.0,11.5,0.05,0.12,-16.9,-16.8,-16.6,-15.8,0.334,0.324,0.267,0.25,q,-14.5,55.0,-19.3,-17.7,1009.6,971.8,0.0,52.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,1.4,0.4,16.0,45.0,5.4,0.0,0.06,-16.9,-16.9,-16.7,-15.8,0.334,0.324,0.267,0.25,q,4,True,2018
2018-04-14,-12.2,-17.5,-16.4,-23.0,2018-04-14T13:39,2018-04-15T09:14,11.64,0.0,0.0,11.2,17.3,0.5,0,q,-12.5,74.0,-18.8,-16.4,1018.7,980.1,0.0,100.0,89.0,79.0,90.0,324.0,206.0,163.0,588.0,11.2,14.1,360.0,352.0,17.3,0.05,0.11,-16.8,-16.8,-16.6,-15.8,0.334,0.324,0.267,0.25,q,-18.8,53.0,-24.1,-23.0,1011.3,973.2,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.9,4.0,7.0,5.0,0.0,0.04,-16.8,-16.8,-16.6,-15.8,0.334,0.324,0.267,0.25,q,4,True,2018
2018-04-15,-11.5,-13.6,-15.8,-18.1,2018-04-15T13:25,2018-04-16T09:27,10.53,0.0,1.68,9.2,18.0,0.46,0,q,-11.9,85.0,-17.0,-15.8,1014.1,975.7,0.14,100.0,99.0,100.0,62.0,329.0,211.0,206.0,564.6,9.2,11.4,360.0,360.0,18.0,0.06,0.11,-16.7,-16.7,-16.6,-15.8,0.334,0.324,0.267,0.25,q,-15.2,54.0,-19.8,-18.1,1008.9,970.8,0.0,52.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,1.8,0.7,4.0,9.0,7.2,0.0,0.03,-16.8,-16.8,-16.6,-15.8,0.334,0.324,0.267,0.25,q,4,True,2018
2018-04-16,-13.8,-19.3,-18.7,-23.9,2018-04-16T13:11,2018-04-17T09:41,11.9,0.0,0.35,10.5,18.0,0.39,0,q,-14.8,81.0,-18.0,-18.7,1025.5,986.0,0.07,100.0,98.0,75.0,0.0,393.0,304.0,188.0,785.5,10.5,12.7,272.0,267.0,18.0,0.04,0.06,-16.7,-16.7,-16.5,-15.8,0.334,0.324,0.267,0.25,q,-20.4,58.0,-25.2,-23.9,1014.3,975.9,0.0,12.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.5,2.3,19.0,32.0,6.5,0.0,0.03,-16.7,-16.7,-16.6,-15.9,0.334,0.324,0.267,0.25,q,4,True,2018
2018-04-17,-16.3,-18.1,-20.9,-22.6,2018-04-17T12:55,2018-04-18T09:56,14.03,0.0,0.0,6.5,10.4,0.45,0,q,-16.5,73.0,-21.9,-20.9,1023.8,984.6,0.0,100.0,87.0,96.0,2.0,390.0,293.0,144.0,780.3,6.5,6.1,356.0,360.0,10.4,0.05,0.07,-16.7,-16.7,-16.5,-15.9,0.334,0.324,0.267,0.25,q,-19.2,55.0,-24.0,-22.6,1021.5,982.2,0.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.4,2.2,3.0,6.0,6.1,0.0,0.04,-16.8,-16.7,-16.5,-15.9,0.334,0.324,0.267,0.25,q,4,True,2018
2018-04-18,-16.3,-18.5,-20.8,-23.1,2018-04-18T12:36,2018-04-19T10:15,14.72,0.0,0.0,5.6,10.8,0.44,0,q,-15.9,71.0,-21.2,-20.8,1024.2,984.8,0.0,100.0,73.0,81.0,66.0,395.0,294.0,158.0,765.7,5.6,5.4,360.0,360.0,10.8,0.05,0.07,-16.7,-16.7,-16.5,-15.9,0.334,0.324,0.267,0.25,q,-19.5,60.0,-23.6,-23.1,1021.9,982.8,0.0,37.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,2.6,4.0,13.0,6.5,0.0,0.04,-16.8,-16.7,-16.5,-15.9,0.334,0.324,0.267,0.25,q,4,True,2018
2018-04-19,-15.4,-18.9,-20.1,-24.2,2018-04-19T12:09,2018-04-20T10:41,14.42,0.0,0.0,11.1,14.8,0.46,0,q,-14.9,70.0,-20.1,-20.1,1025.1,985.9,0.0,100.0,72.0,94.0,71.0,400.0,296.0,157.0,688.4,11.1,11.3,347.0,338.0,14.8,0.05,0.1,-16.8,-16.7,-16.5,-15.9,0.334,0.324,0.267,0.25,q,-20.0,50.0,-24.1,-24.2,1023.9,984.6,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,1.9,15.0,45.0,6.1,0.0,0.04,-16.9,-16.8,-16.5,-15.9,0.334,0.324,0.267,0.25,q,4,True,2018
2018-04-20,-7.3,-14.7,-12.7,-20.0,1970-01-01T07:00,1970-01-01T07:00,12.61,0.0,0.49,13.3,17.6,0.69,0,q,-5.5,66.0,-14.3,-12.7,1024.2,985.3,0.07,100.0,79.0,100.0,86.0,401.0,276.0,237.0,724.1,13.3,17.3,55.0,78.0,17.6,0.06,0.2,-16.6,-16.7,-16.5,-15.9,0.334,0.324,0.267,0.25,q,-14.3,47.0,-22.7,-20.0,1012.9,975.5,0.0,45.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,10.4,11.8,28.0,58.0,14.0,0.01,0.08,-16.8,-16.8,-16.5,-16.0,0.334,0.324,0.267,0.25,q,4,True,2018
2018-04-21,-5.6,-12.3,-9.9,-16.5,1970-01-01T07:00,1970-01-01T07:00,10.75,0.0,0.7,14.0,19.4,0.64,0,q,-2.9,78.0,-9.6,-9.9,1017.3,979.5,0.07,100.0,61.0,100.0,74.0,328.0,144.0,243.0,313.6,14.0,18.0,350.0,360.0,19.4,0.06,0.26,-16.4,-16.5,-16.5,-16.0,0.334,0.324,0.267,0.25,q,-11.7,47.0,-16.1,-16.5,1011.0,973.9,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.8,5.0,16.0,8.3,0.0,0.06,-16.6,-16.7,-16.5,-16.0,0.334,0.324,0.267,0.25,q,4,True,2018
2018-04-22,-4.3,-10.2,-9.3,-15.0,1970-01-01T07:00,1970-01-01T07:00,11.21,0.0,1.26,13.0,16.6,0.7,0,q,-2.8,73.0,-9.6,-9.3,1017.7,979.9,0.14,100.0,62.0,100.0,99.0,341.0,179.0,232.0,381.7,13.0,17.5,360.0,347.0,16.6,0.06,0.21,-16.2,-16.3,-16.4,-16.0,0.334,0.324,0.267,0.25,q,-10.0,59.0,-15.3,-15.0,1005.1,968.4,0.0,84.0,1.0,46.0,50.0,0.0,0.0,0.0,0.0,6.6,6.3,7.0,9.0,10.1,0.0,0.08,-16.4,-16.5,-16.5,-16.0,0.334,0.324,0.267,0.25,q,4,True,2018
2018-04-23,-3.3,-8.0,-8.6,-13.7,1970-01-01T07:00,1970-01-01T07:00,14.86,0.0,0.0,16.4,23.4,1.13,0,q,-2.0,63.0,-9.8,-8.6,1004.5,967.9,0.0,87.0,2.0,98.0,97.0,438.0,355.0,244.0,823.4,16.4,22.9,53.0,74.0,23.4,0.09,0.24,-16.1,-16.2,-16.4,-16.0,0.334,0.324,0.267,0.25,q,-10.1,48.0,-16.3,-13.7,1000.5,963.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10.4,13.2,46.0,63.0,16.6,0.01,0.11,-16.2,-16.3,-16.4,-16.0,0.334,0.324,0.267,0.25,q,4,True,2018
2018-04-24,-5.7,-8.7,-10.2,-14.1,1970-01-01T07:00,1970-01-01T07:00,17.56,0.0,0.0,13.7,19.8,1.19,0,q,-4.8,66.0,-12.1,-10.2,1003.2,966.4,0.0,41.0,29.0,25.0,0.0,450.0,375.0,97.0,880.6,13.7,18.3,48.0,74.0,19.8,0.1,0.22,-16.0,-16.1,-16.3,-16.0,0.334,0.324,0.267,0.25,q,-11.2,48.0,-16.7,-14.1,999.9,963.1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.9,7.0,7.5,21.0,55.0,8.6,0.02,0.09,-16.1,-16.2,-16.3,-16.0,0.334,0.324,0.267,0.25,q,4,True,2018
2018-04-25,-5.8,-8.6,-10.4,-13.7,1970-01-01T07:00,1970-01-01T07:00,15.75,0.0,0.0,11.5,16.6,1.06,0,q,-5.4,72.0,-10.5,-10.4,1007.3,970.3,0.0,100.0,43.0,99.0,85.0,433.0,329.0,139.0,770.8,11.5,14.8,360.0,66.0,16.6,0.1,0.19,-15.9,-16.0,-16.2,-16.0,0.334,0.324,0.267,0.25,q,-9.3,53.0,-14.8,-13.7,1002.8,965.9,0.0,20.0,5.0,16.0,0.0,5.0,0.0,5.0,0.0,5.2,4.8,6.0,27.0,9.4,0.01,0.11,-16.0,-16.1,-16.3,-16.0,0.334,0.324,0.267,0.25,q,4,True,2018
2018-04-26,-6.4,-9.8,-10.8,-14.1,1970-01-01T07:00,1970-01-01T07:00,14.61,0.0,0.42,9.0,21.6,0.79,0,q,-5.6,86.0,-10.4,-10.8,1014.0,976.3,0.07,100.0,96.0,99.0,15.0,370.0,267.0,242.0,589.3,9.0,10.2,360.0,356.0,21.6,0.08,0.17,-15.8,-15.9,-16.1,-16.0,0.334,0.324,0.267,0.25,q,-11.0,58.0,-13.9,-14.1,1007.2,970.1,0.0,28.0,7.0,7.0,0.0,7.0,1.0,6.0,11.5,3.7,2.7,281.0,32.0,11.9,0.0,0.04,-15.9,-16.0,-16.2,-16.0,0.334,0.324,0.267,0.25,q,4,True,2018
2018-04-27,-8.6,-11.8,-12.8,-16.3,1970-01-01T07:00,1970-01-01T07:00,16.88,0.0,0.14,7.6,11.5,0.84,0,q,-8.8,80.0,-12.2,-12.8,1016.1,978.3,0.07,100.0,89.0,93.0,94.0,416.0,282.0,232.0,708.7,7.6,10.3,360.0,352.0,11.5,0.07,0.12,-15.7,-15.8,-16.1,-16.0,0.334,0.324,0.267,0.25,q,-11.5,57.0,-18.3,-16.3,1011.4,973.7,0.0,18.0,0.0,21.0,0.0,11.0,3.0,8.0,28.9,4.4,4.4,3.0,9.0,8.3,0.01,0.06,-15.8,-15.9,-16.1,-16.0,0.334,0.324,0.267,0.25,q,4,True,2018
2018-04-28,-6.4,-10.9,-10.7,-16.4,1970-01-01T07:00,1970-01-01T07:00,17.27,0.0,0.0,14.0,21.6,1.02,0,q,-5.7,60.0,-12.7,-10.7,1010.7,973.0,0.0,89.0,7.0,99.0,100.0,422.0,229.0,256.0,543.1,14.0,21.4,360.0,354.0,21.6,0.08,0.2,-15.8,-15.8,-16.0,-16.0,0.334,0.324,0.267,0.25,q,-10.0,51.0,-17.5,-16.4,986.3,950.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,9.0,70.4,3.6,5.9,2.0,16.0,8.6,0.01,0.12,-15.9,-15.9,-16.1,-16.0,0.334,0.324,0.267,0.25,q,4,True,2018
2018-04-29,-3.9,-10.8,-9.2,-17.2,1970-01-01T07:00,1970-01-01T07:00,14.6,0.0,0.63,26.1,42.5,1.08,0,q,-3.3,65.0,-8.9,-9.2,1017.0,978.9,0.14,100.0,62.0,100.0,100.0,410.0,202.0,287.0,585.4,26.1,39.3,279.0,315.0,42.5,0.08,0.2,-15.7,-15.8,-16.0,-16.0,0.334,0.324,0.267,0.25,q,-12.0,48.0,-20.1,-17.2,986.5,950.2,0.0,29.0,0.0,20.0,0.0,12.0,0.0,12.0,0.0,2.9,1.8,42.0,50.0,9.7,0.02,0.11,-15.8,-15.9,-16.0,-16.0,0.334,0.324,0.267,0.25,q,4,True,2018
2018-04-30,-9.0,-13.6,-14.6,-19.5,1970-01-01T07:00,1970-01-01T07:00,20.6,0.0,0.0,16.0,24.5,1.08,0,q,-9.5,62.0,-17.6,-14.6,1016.0,978.2,0.0,76.0,2.0,86.0,90.0,491.0,410.0,160.0,896.9,16.0,22.6,60.0,74.0,24.5,0.08,0.15,-15.7,-15.7,-15.9,-16.0,0.334,0.324,0.267,0.25,q,-16.6,39.0,-23.2,-19.5,1007.6,969.8,0.0,0.0,0.0,0.0,0.0,23.0,10.0,13.0,119.0,7.6,8.5,8.0,28.0,11.5,0.02,0.07,-15.8,-15.8,-16.0,-16.0,0.334,0.324,0.267,0.25,q,4,True,2018
2018-05-01,-11.0,-16.0,-15.6,-21.4,1970-01-01T07:00,1970-01-01T07:00,21.71,0.0,0.0,12.0,18.4,0.94,0,q,-11.7,62.0,-18.9,-15.6,1006.8,969.1,0.0,19.0,0.0,25.0,21.0,500.0,418.0,82.0,907.5,12.0,15.0,360.0,360.0,18.4,0.09,0.15,-15.8,-15.8,-15.9,-16.0,0.334,0.324,0.267,0.25,q,-18.1,39.0,-24.2,-21.4,998.2,960.1,0.0,0.0,0.0,0.0,0.0,27.0,13.0,14.0,152.2,3.2,3.8,12.0,11.0,8.6,0.01,0.06,-15.9,-15.9,-15.9,-16.0,0.334,0.324,0.267,0.25,q,5,False,2018
2018-05-02,-12.3,-15.7,-16.8,-20.9,1970-01-01T07:00,1970-01-01T07:00,22.11,0.0,0.0,9.4,13.7,0.95,0,q,-12.6,68.0,-19.4,-16.8,1001.9,963.8,0.0,2.0,2.0,0.0,0.0,503.0,421.0,84.0,905.2,9.4,10.4,348.0,315.0,13.7,0.08,0.12,-15.9,-15.9,-15.9,-16.0,0.334,0.324,0.267,0.25,q,-17.1,48.0,-22.8,-20.9,999.0,961.4,0.0,0.0,0.0,0.0,0.0,30.0,14.0,16.0,168.7,4.2,2.0,10.0,6.0,6.5,0.01,0.05,-16.0,-16.0,-15.9,-16.0,0.334,0.324,0.267,0.25,q,5,False,2018
2018-05-03,-10.5,-13.7,-14.7,-18.1,1970-01-01T07:00,1970-01-01T07:00,21.61,0.0,0.0,6.1,13.3,0.88,0,q,-11.6,75.0,-16.1,-14.7,1003.5,966.0,0.0,69.0,73.0,57.0,23.0,507.0,419.0,113.0,897.4,6.1,7.0,360.0,270.0,13.3,0.09,0.12,-16.0,-16.0,-15.9,-16.0,0.334,0.324,0.267,0.25,q,-14.7,51.0,-19.9,-18.1,998.2,960.5,0.0,1.0,1.0,0.0,0.0,31.0,11.0,20.0,132.4,0.8,0.5,18.0,45.0,6.1,0.0,0.06,-16.0,-16.0,-15.9,-16.0,0.334,0.324,0.267,0.25,q,5,False,2018
2018-05-04,-10.7,-15.2,-14.8,-19.9,1970-01-01T07:00,1970-01-01T07:00,18.0,0.0,0.0,8.1,14.4,0.82,0,q,-11.1,80.0,-16.5,-14.8,1005.6,967.8,0.0,100.0,75.0,100.0,100.0,501.0,408.0,260.0,851.6,8.1,10.9,333.0,337.0,14.4,0.09,0.12,-15.9,-15.9,-15.9,-16.0,0.334,0.324,0.267,0.25,q,-15.0,51.0,-19.7,-19.9,994.8,957.5,0.0,18.0,2.0,0.0,0.0,37.0,10.0,19.0,37.0,2.9,1.9,191.0,200.0,6.1,0.0,0.04,-16.0,-16.0,-16.0,-16.0,0.334,0.324,0.267,0.25,q,5,False,2018
2018-05-05,-10.9,-14.0,-15.2,-19.3,1970-01-01T07:00,1970-01-01T07:00,18.45,0.0,0.14,12.1,17.6,0.88,0,q,-11.2,69.0,-16.7,-15.2,1003.5,965.8,0.07,100.0,84.0,97.0,44.0,435.0,231.0,247.0,540.8,12.1,15.5,166.0,176.0,17.6,0.08,0.12,-15.8,-15.9,-15.9,-16.0,0.334,0.324,0.267,0.25,q,-15.4,49.0,-21.5,-19.3,995.0,957.7,0.0,77.0,51.0,12.0,0.0,27.0,3.0,24.0,38.5,3.8,4.9,50.0,58.0,6.5,0.01,0.06,-15.9,-15.9,-16.0,-16.0,0.334,0.324,0.267,0.25,q,5,False,2018
2018-05-06,-10.9,-15.8,-15.8,-20.7,1970-01-01T07:00,1970-01-01T07:00,22.13,0.0,0.0,8.9,13.3,1.03,0,q,-12.0,68.0,-18.8,-15.8,1009.6,971.4,0.0,100.0,59.0,97.0,47.0,518.0,428.0,242.0,892.0,8.9,10.8,53.0,70.0,13.3,0.09,0.12,-15.7,-15.8,-15.9,-16.0,0.334,0.324,0.267,0.25,q,-17.0,49.0,-22.8,-20.7,1003.2,965.6,0.0,0.0,0.0,0.0,0.0,45.0,24.0,21.0,267.0,3.9,3.5,10.0,24.0,6.1,0.01,0.06,-15.9,-15.9,-15.9,-16.0,0.334,0.324,0.267,0.25,q,5,False,2018
2018-05-07,-11.7,-13.0,-15.8,-17.1,1970-01-01T07:00,1970-01-01T07:00,18.38,0.0,0.0,4.3,7.2,0.89,0,q,-12.9,72.0,-18.9,-15.8,1011.6,973.4,0.0,100.0,90.0,100.0,100.0,524.0,427.0,241.0,887.1,4.3,3.3,360.0,360.0,7.2,0.09,0.11,-15.8,-15.8,-15.9,-16.0,0.334,0.324,0.267,0.25,q,-15.3,50.0,-21.8,-17.1,1009.7,971.7,0.0,40.0,0.0,18.0,95.0,36.0,0.0,36.0,0.0,1.5,0.4,6.0,6.0,4.0,0.0,0.05,-15.8,-15.8,-15.9,-16.0,0.334,0.324,0.267,0.25,q,5,False,2018
2018-05-08,-11.2,-12.4,-15.1,-16.4,1970-01-01T07:00,1970-01-01T07:00,16.25,0.0,0.49,4.2,6.8,0.85,0,q,-12.4,76.0,-16.5,-15.1,1010.5,972.6,0.07,100.0,98.0,100.0,99.0,398.0,85.0,317.0,175.2,4.2,4.2,360.0,360.0,6.8,0.08,0.09,-15.6,-15.7,-15.9,-16.0,0.334,0.324,0.267,0.25,q,-13.8,60.0,-19.1,-16.4,1007.0,969.2,0.0,100.0,28.0,97.0,44.0,36.0,0.0,35.0,5.0,1.8,1.1,11.0,7.0,4.3,0.01,0.05,-15.8,-15.8,-15.9,-16.0,0.334,0.324,0.267,0.25,q,5,False,2018
2018-05-09,-10.7,-12.4,-14.8,-16.6,1970-01-01T07:00,1970-01-01T07:00,17.72,0.0,0.7,5.5,8.3,0.92,0,q,-12.1,80.0,-16.0,-14.8,1009.3,971.3,0.07,100.0,99.0,100.0,16.0,412.0,126.0,332.0,255.6,5.5,6.6,360.0,360.0,8.3,0.08,0.08,-15.5,-15.6,-15.8,-16.0,0.334,0.324,0.267,0.25,q,-14.0,66.0,-17.2,-16.6,1007.0,969.3,0.0,100.0,82.0,95.0,0.0,31.0,1.0,30.0,10.7,1.8,0.7,9.0,27.0,3.2,0.01,0.04,-15.6,-15.7,-15.9,-16.0,0.334,0.324,0.267,0.25,q,5,False,2018
2018-05-10,-10.0,-12.3,-14.2,-16.5,1970-01-01T07:00,1970-01-01T07:00,18.77,0.0,0.0,6.3,10.8,0.99,0,q,-11.1,78.0,-15.2,-14.2,1008.5,970.8,0.0,100.0,98.0,100.0,27.0,451.0,160.0,318.0,264.1,6.3,8.1,360.0,360.0,10.8,0.09,0.09,-15.5,-15.5,-15.8,-16.0,0.334,0.324,0.267,0.25,q,-13.2,64.0,-17.5,-16.5,1006.7,969.1,0.0,100.0,57.0,98.0,0.0,44.0,1.0,42.0,9.5,1.4,1.8,4.0,4.0,6.5,0.01,0.05,-15.5,-15.6,-15.8,-16.0,0.334,0.324,0.267,0.25,q,5,False,2018
2018-05-11,-8.8,-11.0,-13.3,-15.3,1970-01-01T07:00,1970-01-01T07:00,20.53,0.0,0.7,7.6,14.8,1.05,0,q,-9.5,86.0,-12.3,-13.3,1006.5,969.0,0.07,100.0,92.0,100.0,1.0,527.0,421.0,293.0,789.7,7.6,7.4,352.0,360.0,14.8,0.1,0.08,-15.4,-15.5,-15.7,-16.0,0.334,0.324,0.267,0.25,q,-11.9,70.0,-15.3,-15.3,1004.3,967.0,0.0,3.0,3.0,1.0,0.0,38.0,3.0,35.0,29.3,2.3,1.1,270.0,10.0,10.4,0.01,0.03,-15.4,-15.5,-15.8,-16.0,0.334,0.324,0.267,0.25,q,5,False,2018
2018-05-12,-8.4,-11.1,-12.7,-15.4,1970-01-01T07:00,1970-01-01T07:00,24.35,0.0,0.0,8.4,16.6,1.23,0,q,-8.9,85.0,-11.8,-12.7,1006.0,968.7,0.0,100.0,73.0,97.0,92.0,539.0,446.0,143.0,868.0,8.4,8.7,360.0,351.0,16.6,0.11,0.1,-15.3,-15.4,-15.7,-16.0,0.334,0.324,0.267,0.25,q,-10.4,69.0,-14.3,-15.4,1003.5,966.1,0.0,0.0,0.0,0.0,0.0,58.0,8.0,33.0,64.0,2.5,1.8,6.0,4.0,6.1,0.01,0.04,-15.4,-15.5,-15.7,-16.0,0.334,0.324,0.267,0.25,q,5,False,2018
2018-05-13,-2.0,-9.4,-6.9,-13.3,1970-01-01T07:00,1970-01-01T07:00,24.46,0.0,0.0,14.0,18.7,1.41,0,q,0.7,76.0,-7.4,-6.9,1007.5,970.1,0.0,100.0,72.0,98.0,100.0,547.0,455.0,169.0,889.3,14.0,18.5,360.0,326.0,18.7,0.12,0.29,-15.2,-15.3,-15.6,-16.0,0.334,0.324,0.267,0.25,q,-9.4,54.0,-13.7,-13.3,1003.1,966.1,0.0,0.0,0.0,0.0,0.0,73.0,11.0,29.0,52.9,2.0,1.9,6.0,9.0,8.6,0.01,0.08,-15.3,-15.4,-15.7,-16.0,0.334,0.324,0.267,0.25,q,5,False,2018
2018-05-14,-0.2,-4.3,-4.4,-8.4,1970-01-01T07:00,1970-01-01T07:00,24.07,0.0,0.0,12.0,18.0,1.83,0,q,1.2,74.0,-4.0,-4.4,1009.0,972.6,0.0,76.0,26.0,76.0,81.0,528.0,444.0,166.0,861.9,12.0,14.8,65.0,88.0,18.0,0.16,0.3,-14.8,-15.0,-15.5,-15.9,0.334,0.324,0.267,0.25,q,-4.8,51.0,-10.5,-8.4,1006.1,969.9,0.0,0.0,0.0,0.0,0.0,71.0,43.0,28.0,405.5,5.1,5.5,4.0,41.0,9.7,0.02,0.13,-15.1,-15.3,-15.6,-16.0,0.334,0.324,0.267,0.25,q,5,False,2018
2018-05-15,-0.3,-4.5,-4.5,-9.1,1970-01-01T07:00,1970-01-01T07:00,25.57,0.0,0.0,12.3,20.2,1.98,0,q,0.5,74.0,-6.9,-4.5,1006.1,969.9,0.0,12.0,0.0,0.0,40.0,535.0,452.0,84.0,871.6,12.3,17.8,56.0,72.0,20.2,0.16,0.3,-14.5,-14.8,-15.4,-15.9,0.334,0.324,0.267,0.25,q,-5.3,52.0,-9.5,-9.1,1002.4,965.8,0.0,0.0,0.0,0.0,0.0,75.0,46.0,29.0,416.5,6.4,7.7,25.0,58.0,9.7,0.02,0.11,-14.8,-15.0,-15.5,-15.9,0.334,0.324,0.267,0.25,q,5,False,2018
2018-05-16,-0.5,-4.7,-4.8,-9.3,1970-01-01T07:00,1970-01-01T07:00,24.78,0.0,0.0,11.4,15.8,1.73,0,q,1.1,85.0,-5.2,-4.8,1006.4,970.0,0.0,70.0,30.0,91.0,0.0,540.0,459.0,188.0,878.8,11.4,14.9,354.0,360.0,15.8,0.15,0.29,-14.2,-14.5,-15.3,-15.9,0.334,0.324,0.267,0.25,q,-3.9,56.0,-7.3,-9.3,1001.2,964.9,0.0,0.0,0.0,0.0,0.0,78.0,50.0,28.0,362.1,4.4,0.4,12.0,19.0,8.6,0.02,0.07,-14.5,-14.7,-15.4,-15.9,0.334,0.324,0.267,0.25,q,5,False,2018
2018-05-17,-1.8,-5.5,-5.2,-10.0,1970-01-01T07:00,1970-01-01T07:00,26.61,0.0,0.0,9.4,14.8,1.9,0,q,-1.4,86.0,-4.8,-5.2,1000.8,964.6,0.0,2.0,2.0,0.0,0.0,548.0,468.0,84.0,891.7,9.4,14.2,360.0,349.0,14.8,0.16,0.22,-13.9,-14.2,-15.1,-15.9,0.334,0.324,0.267,0.25,q,-5.5,57.0,-10.9,-10.0,995.1,959.0,0.0,0.0,0.0,0.0,0.0,84.0,56.0,28.0,472.2,4.1,3.0,4.0,30.0,7.2,0.02,0.07,-14.2,-14.5,-15.3,-15.9,0.334,0.324,0.267,0.25,q,5,False,2018
2018-05-18,-1.6,-6.0,-5.4,-10.7,1970-01-01T07:00,1970-01-01T07:00,27.17,0.0,0.0,10.0,16.9,1.93,0,q,-1.5,78.0,-6.6,-5.4,997.4,961.1,0.0,0.0,0.0,0.0,0.0,555.0,475.0,80.0,898.2,10.0,12.7,348.0,68.0,16.9,0.16,0.22,-13.6,-14.0,-14.9,-15.9,0.334,0.324,0.267,0.25,q,-5.3,58.0,-10.2,-10.7,994.3,958.3,0.0,0.0,0.0,0.0,0.0,88.0,59.0,29.0,481.9,4.0,3.8,5.0,15.0,6.5,0.02,0.09,-13.9,-14.2,-15.1,-15.9,0.334,0.324,0.267,0.25,q,5,False,2018
